NOMBRE;AARON;ALONSO;BLANCO;RAMIREZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;;;;;;;;3;0;;;;;;;;6;1;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS;;;;;;;;DISTANCIA;INSTANCIAS
2;67;;;;;;;;4;9;;|;;;;;;7;1;;;;;;;;6;0;;;;;;;;7;0;;;;;;;;8;0;;;;;;;;10;0;;;;;;;;10;0;;;;;;;;11;0;;;;;;;;12;0;;;;;;;;13;0;;;;;;;;15;0;;;;;;;;16;0;;;;;;;;6;0;;;;;;;;20;0
3;205;;;;;;;;5;13;;;;;;;;8;10;;;;;;;;7;1;;;;;;;;14;0;;;;;;;;17;0;;;;;;;;22;0;;;;;;;;34;0;;;;;;;;33;0;;;;;;;;44;0;;;;;;;;75;0;;;;;;;;115;0;;;;;;;;152;0;;;;;;;;202;0;;;;;;;;303;0
4;239;;;;;;;;6;39;;;;;;;;9;17;;;;;;;;8;3;;;;;;;;15;1;;;;;;;;18;0;;;;;;;;23;0;;;;;;;;36;0;;;;;;;;36;0;;;;;;;;47;0;;;;;;;;87;0;;;;;;;;123;0;;;;;;;;175;0;;;;;;;;203;0;;;;;;;;312;0
5;327;;;;;;;;7;53;;;;;;;;10;15;;;;;;;;9;7;;;;;;;;16;1;;;;;;;;20;0;;;;;;;;26;0;;;;;;;;38;0;;;;;;;;39;0;;;;;;;;48;0;;;;;;;;88;0;;;;;;;;124;0;;;;;;;;177;0;;;;;;;;205;0;;;;;;;;316;0
6;421;;;;;;;;8;91;;;;;;;;11;26;;;;;;;;10;14;;;;;;;;17;0;;;;;;;;21;1;;;;;;;;28;0;;;;;;;;39;0;;;;;;;;40;2;;;;;;;;50;1;;;;;;;;90;0;;;;;;;;130;1;;;;;;;;178;0;;;;;;;;209;0;;;;;;;;325;0
7;505;;;;;;;;9;117;;;;;;;;12;34;;;;;;;;11;18;;;;;;;;18;1;;;;;;;;23;1;;;;;;;;30;0;;;;;;;;40;0;;;;;;;;41;0;;;;;;;;51;0;;;;;;;;92;0;;;;;;;;132;1;;;;;;;;180;0;;;;;;;;210;0;;;;;;;;328;0
8;593;;;;;;;;10;133;;;;;;;;13;34;;;;;;;;12;26;;;;;;;;19;2;;;;;;;;24;0;;;;;;;;31;2;;;;;;;;43;3;;;;;;;;43;0;;;;;;;;52;0;;;;;;;;98;0;;;;;;;;135;0;;;;;;;;181;1;;;;;;;;213;0;;;;;;;;329;1
9;632;;;;;;;;11;136;;;;;;;;14;43;;;;;;;;13;28;;;;;;;;21;1;;;;;;;;25;1;;;;;;;;32;2;;;;;;;;44;4;;;;;;;;44;2;;;;;;;;53;4;;;;;;;;99;1;;;;;;;;136;0;;;;;;;;182;0;;;;;;;;214;0;;;;;;;;330;0
10;523;;;;;;;;12;142;;;;;;;;15;45;;;;;;;;14;27;;;;;;;;22;6;;;;;;;;26;2;;;;;;;;33;2;;;;;;;;45;2;;;;;;;;45;0;;;;;;;;54;0;;;;;;;;102;2;;;;;;;;137;0;;;;;;;;184;1;;;;;;;;215;0;;;;;;;;332;2
11;492;;;;;;;;13;181;;;;;;;;16;59;;;;;;;;15;29;;;;;;;;23;3;;;;;;;;27;1;;;;;;;;34;1;;;;;;;;46;7;;;;;;;;46;1;;;;;;;;55;2;;;;;;;;104;2;;;;;;;;139;2;;;;;;;;185;1;;;;;;;;217;0;;;;;;;;334;1
12;471;;;;;;;;14;169;;;;;;;;17;54;;;;;;;;16;32;;;;;;;;24;3;;;;;;;;28;1;;;;;;;;35;1;;;;;;;;47;3;;;;;;;;47;3;;;;;;;;56;1;;;;;;;;105;1;;;;;;;;140;5;;;;;;;;187;2;;;;;;;;218;0;;;;;;;;336;1
13;440;;;;;;;;15;182;;;;;;;;18;82;;;;;;;;17;46;;;;;;;;25;6;;;;;;;;29;2;;;;;;;;36;4;;;;;;;;48;9;;;;;;;;48;2;;;;;;;;57;1;;;;;;;;106;5;;;;;;;;141;2;;;;;;;;188;2;;;;;;;;219;4;;;;;;;;337;1
14;384;;;;;;;;16;219;;;;;;;;19;78;;;;;;;;18;47;;;;;;;;26;7;;;;;;;;30;2;;;;;;;;37;3;;;;;;;;49;2;;;;;;;;49;0;;;;;;;;58;5;;;;;;;;108;3;;;;;;;;142;0;;;;;;;;190;2;;;;;;;;220;0;;;;;;;;338;1
15;286;;;;;;;;17;210;;;;;;;;20;105;;;;;;;;19;40;;;;;;;;27;11;;;;;;;;31;6;;;;;;;;38;4;;;;;;;;50;5;;;;;;;;50;2;;;;;;;;59;3;;;;;;;;109;4;;;;;;;;143;1;;;;;;;;191;6;;;;;;;;221;1;;;;;;;;339;1
16;220;;;;;;;;18;225;;;;;;;;21;98;;;;;;;;20;56;;;;;;;;28;10;;;;;;;;32;6;;;;;;;;39;5;;;;;;;;51;5;;;;;;;;51;2;;;;;;;;60;3;;;;;;;;110;6;;;;;;;;144;1;;;;;;;;192;0;;;;;;;;222;2;;;;;;;;340;0
17;188;;;;;;;;19;255;;;;;;;;22;122;;;;;;;;21;61;;;;;;;;29;16;;;;;;;;33;6;;;;;;;;40;7;;;;;;;;52;4;;;;;;;;52;6;;;;;;;;61;0;;;;;;;;111;5;;;;;;;;145;4;;;;;;;;193;2;;;;;;;;223;3;;;;;;;;341;1
18;185;;;;;;;;20;264;;;;;;;;23;154;;;;;;;;22;71;;;;;;;;30;16;;;;;;;;34;13;;;;;;;;41;9;;;;;;;;53;12;;;;;;;;53;4;;;;;;;;62;4;;;;;;;;112;5;;;;;;;;146;2;;;;;;;;194;7;;;;;;;;224;2;;;;;;;;342;4
19;220;;;;;;;;21;263;;;;;;;;24;127;;;;;;;;23;53;;;;;;;;31;17;;;;;;;;35;7;;;;;;;;42;11;;;;;;;;54;12;;;;;;;;54;7;;;;;;;;63;5;;;;;;;;113;6;;;;;;;;147;4;;;;;;;;195;4;;;;;;;;225;4;;;;;;;;343;1
20;201;;;;;;;;22;278;;;;;;;;25;135;;;;;;;;24;56;;;;;;;;32;12;;;;;;;;36;18;;;;;;;;43;16;;;;;;;;55;14;;;;;;;;55;5;;;;;;;;64;3;;;;;;;;114;12;;;;;;;;148;5;;;;;;;;196;6;;;;;;;;226;10;;;;;;;;344;10
21;214;;;;;;;;23;268;;;;;;;;26;132;;;;;;;;25;85;;;;;;;;33;20;;;;;;;;37;10;;;;;;;;44;8;;;;;;;;56;8;;;;;;;;56;5;;;;;;;;65;5;;;;;;;;115;11;;;;;;;;149;5;;;;;;;;197;6;;;;;;;;227;12;;;;;;;;345;9
22;206;;;;;;;;24;353;;;;;;;;27;159;;;;;;;;26;62;;;;;;;;34;20;;;;;;;;38;19;;;;;;;;45;16;;;;;;;;57;18;;;;;;;;57;8;;;;;;;;66;7;;;;;;;;116;7;;;;;;;;150;15;;;;;;;;198;7;;;;;;;;228;1;;;;;;;;346;3
23;202;;;;;;;;25;307;;;;;;;;28;177;;;;;;;;27;85;;;;;;;;35;18;;;;;;;;39;22;;;;;;;;46;24;;;;;;;;58;22;;;;;;;;58;4;;;;;;;;67;7;;;;;;;;117;6;;;;;;;;151;5;;;;;;;;199;8;;;;;;;;229;13;;;;;;;;347;11
24;208;;;;;;;;26;291;;;;;;;;29;172;;;;;;;;28;97;;;;;;;;36;34;;;;;;;;40;14;;;;;;;;47;16;;;;;;;;59;19;;;;;;;;59;9;;;;;;;;68;8;;;;;;;;118;10;;;;;;;;152;4;;;;;;;;200;6;;;;;;;;230;12;;;;;;;;348;15
25;211;;;;;;;;27;282;;;;;;;;30;206;;;;;;;;29;100;;;;;;;;37;16;;;;;;;;41;23;;;;;;;;48;16;;;;;;;;60;17;;;;;;;;60;13;;;;;;;;69;13;;;;;;;;119;13;;;;;;;;153;10;;;;;;;;201;19;;;;;;;;231;8;;;;;;;;349;11
